term_str,n,pos_max,pos_group,df,dfidf
also,787,RB,RB,300,280.8264708539421
almost,784,RB,RB,329,264.17487731740687
white,780,JJ,JJ,267,294.8243356618317
having,768,VBG,VB,335,260.2580298457352
done,764,VBN,VB,316,272.1158724055528
during,759,IN,IN,332,262.2360084491493
look,758,NN,NN,317,271.53202320200097
four,744,CD,CD,348,251.2432739277819
felt,743,VBD,VB,339,257.56049213983755
appeared,740,VBD,VB,327,265.44555308507694
turned,739,VBD,VB,288,286.55479446721216
sun,737,NN,NN,275,291.9452575225081
less,736,JJR,JJ,327,265.44555308507694
tell,733,VB,VB,308,276.6210788820822
hands,732,NNS,NN,342,255.49260883210815
until,726,IN,IN,318,270.94362290244374
give,725,VB,VB,323,267.93385275010945
stood,722,VBD,VB,268,294.4831533064013
engineer,722,NN,NN,125,274.89033025170005
sir,722,NN,NN,204,304.46624327965526
human,711,JJ,JJ,227,303.80736574034347
room,708,NN,NN,222,304.24901539227915
doubt,707,NN,NN,319,270.3506858185511
hours,706,NNS,NN,311,274.9663446855215
large,700,JJ,JJ,291,285.18919087631457
matter,696,NN,NN,299,281.3306704907973
fact,696,NN,NN,320,269.75322617226414
themselves,693,PRP,PR,307,277.1633089607911
rather,687,RB,RB,304,278.7617416225591
idea,686,NN,NN,284,288.3053852365657
nor,686,CC,CC,303,279.2850817904293
twenty,682,NN,NN,312,274.4054688377931
possible,680,JJ,JJ,299,281.3306704907973
least,679,JJS,JJ,318,270.94362290244374
near,669,IN,IN,300,280.8264708539421
gave,666,VBD,VB,332,262.2360084491493
open,665,JJ,JJ,311,274.9663446855215
herbert,664,NNP,NN,65,204.2650423870702
high,662,JJ,JJ,274,292.32370717795413
fire,648,NN,NN,246,300.70853564876626
want,644,VBP,VB,228,303.69985605249576
land,643,NN,NN,204,304.46624327965526
set,643,VBN,VB,292,284.7240513963358
surface,640,NN,NN,240,301.92391945612064
always,636,RB,RB,270,293.78465899871134
doctor,636,NN,NN,89,239.3364411181268
because,636,IN,IN,240,301.92391945612064
trees,635,NNS,NN,199,304.12817892027573
beyond,634,IN,IN,258,297.6493551831279
behind,628,IN,IN,271,293.42738692221224
hour,627,NN,NN,307,277.1633089607911
itself,625,PRP,PR,287,287.0
wind,618,NN,NN,221,304.31796516982064
question,618,NN,NN,272,293.06479123569477
strange,613,JJ,JJ,272,293.06479123569477
door,613,NN,NN,189,302.9035909639223
means,611,NNS,NN,305,278.2336557387589
cyrus,610,NNP,NN,63,200.82050120007358
thousand,609,CD,CD,262,296.44878838621827
order,605,NN,NN,277,291.17263869354036
therefore,604,NN,NN,244,301.1373797435236
young,603,JJ,JJ,192,303.3493297832701
utopia,600,NNP,NN,12,66.95933311145438
balloon,599,NN,NN,105,257.31944794600435
country,597,NN,NN,221,304.31796516982064
voice,596,NN,NN,271,293.42738692221224
across,592,IN,IN,239,302.1055883680905
together,592,RB,RB,278,290.77850739870615
either,591,DT,DT,267,294.8243356618317
below,590,IN,IN,234,302.9228764595943
taken,588,VBN,VB,312,274.4054688377931
better,586,JJR,JJ,266,295.1601146524165
fogg,583,NNP,NN,37,146.35178175872932
clear,582,JJ,JJ,253,299.02407805128854
looking,581,VBG,VB,269,294.1365877480281
since,579,IN,IN,302,279.80366057988385
distance,574,NN,NN,267,294.8243356618317
nautilus,573,NNP,NN,41,156.10155180436178
morning,571,NN,NN,279,290.37918654217356
fell,569,VBD,VB,283,288.730377527797
several,567,JJ,JJ,291,285.18919087631457
whose,566,WP$,WP,270,293.78465899871134
companions,565,NNS,NN,204,304.46624327965526
times,560,NNS,NN,244,301.1373797435236
keep,557,VB,VB,265,295.4904699646585
certainly,556,RB,RB,267,294.8243356618317
knew,555,VBD,VB,270,293.78465899871134
second,555,JJ,JJ,262,296.44878838621827
presently,554,RB,RB,171,298.7463044160541
answered,553,VBD,VB,221,304.31796516982064
vast,550,JJ,JJ,237,302.4507916332506
bert,550,NNP,NN,11,62.76022838842229
full,546,JJ,JJ,273,292.69689151134304
ardan,545,NNP,NN,32,133.277021653622
brought,544,VBN,VB,265,295.4904699646585
longer,541,RBR,RB,274,292.32370717795413
become,540,VBN,VB,248,300.2562328396255
river,539,NN,NN,154,292.3105394410411
six,539,CD,CD,297,282.3245783448519
necessary,536,JJ,JJ,249,300.02134365729404
small,534,JJ,JJ,261,296.7572427576147
space,534,NN,NN,215,304.59352657353895
body,533,NN,NN,225,304.00329047819645
sky,531,NN,NN,207,304.58393361950704
ground,530,NN,NN,247,300.4853046874795
does,529,VBZ,VB,227,303.80736574034347
next,526,JJ,JJ,284,288.3053852365657
london,523,NNP,NN,130,278.5300847741404
name,523,NN,NN,249,300.02134365729404
master,521,NN,NN,213,304.6320262738179
followed,518,VBD,VB,292,284.7240513963358
barbican,516,NNP,NN,24,109.91866622290875
understand,514,VB,VB,233,303.06794221098795
anything,514,NN,NN,231,303.3394714949746
joe,512,NNP,NN,39,151.30068360472413
others,512,NNS,NN,257,297.9355710128251
everything,511,NN,NN,246,300.70853564876626
red,511,JJ,JJ,202,304.35247967262643
minutes,510,NNS,NN,253,299.02407805128854
number,509,NN,NN,218,304.48552721393
both,508,DT,DT,264,295.81538113174986
road,507,NN,NN,172,299.0464535794575
words,504,NNS,NN,254,298.7604489354946
lost,504,VBN,VB,282,289.15027194608416
lay,500,VBD,VB,238,302.28122088152315
coming,498,VBG,VB,226,303.90851992287304
common,497,JJ,JJ,162,295.65922165415225
within,497,IN,IN,242,301.54257283506456
servadac,495,NNP,NN,41,156.10155180436178
remained,494,VBD,VB,280,289.97469472460193
alone,493,RB,RB,271,293.42738692221224
case,491,NN,NN,239,302.1055883680905
able,487,JJ,JJ,263,296.1348275318303
nearly,485,RB,RB,261,296.7572427576147
different,483,JJ,JJ,209,304.62748907031425
ten,479,JJ,JJ,277,291.17263869354036
im,478,NNP,NN,128,277.10808661448806
rose,478,VBD,VB,270,293.78465899871134
graham,478,NNP,NN,25,113.02626842252408
suppose,477,VBP,VB,196,303.83862818185395
continued,476,VBD,VB,258,297.6493551831279
granite,474,NNP,NN,99,251.01948035301172
dark,471,JJ,JJ,225,304.00329047819645
sight,470,NN,NN,246,300.70853564876626
word,469,NN,NN,254,298.7604489354946
nature,466,NN,NN,224,304.09164903445077
making,466,VBG,VB,258,297.6493551831279
evening,464,NN,NN,231,303.3394714949746
called,462,VBN,VB,243,301.3429448059874
oclock,462,NN,NN,242,301.54257283506456
dead,459,JJ,JJ,190,303.05975048550056
really,457,RB,RB,233,303.06794221098795
neb,455,NNP,NN,60,195.48097986403016
kind,455,NN,NN,239,302.1055883680905
spilett,455,NNP,NN,60,195.48097986403016
friends,455,NN,NN,212,304.6411320878476
stopped,455,VBD,VB,222,304.24901539227915
professor,454,NNP,NN,107,259.30807360937587
sound,452,NN,NN,217,304.5281856481722
use,452,NN,NN,227,303.80736574034347
returned,452,VBD,VB,241,301.73623929742
eye,448,NN,NN,223,304.1735669664504
power,448,NN,NN,179,300.9153157446462
coast,446,NN,NN,167,297.46083991167313
women,445,NNS,NN,96,247.67466489163508
south,444,NN,NN,201,304.2849023348486
general,444,JJ,JJ,186,302.3891494955841
rest,443,NN,NN,235,302.7716453260117
exclaimed,442,VBD,VB,214,304.6161472187518
thus,438,RB,RB,258,297.6493551831279
leave,436,VB,VB,238,302.28122088152315
gone,436,VBN,VB,236,302.6142750460678
reached,435,VBD,VB,238,302.28122088152315
carried,435,VBD,VB,252,299.2820048002943
past,435,JJ,JJ,234,302.9228764595943
hope,435,NN,NN,245,300.9259019799137
mean,433,VBP,VB,208,304.6091793751959
told,431,VBD,VB,211,304.643432711354
return,430,VB,VB,233,303.06794221098795
best,428,JJS,JJ,214,304.6161472187518
present,428,JJ,JJ,210,304.6388958920087
kept,426,VBD,VB,246,300.70853564876626
cannot,425,VBP,VB,220,304.38038689322616
projectile,424,NNP,NN,52,180.15229484379898
blue,423,JJ,JJ,161,295.27239781833237
close,423,RB,RB,226,303.90851992287304
machine,421,NN,NN,112,264.04582451722536
position,421,NN,NN,217,304.5281856481722
north,421,NN,NN,203,304.4129149265738
neither,421,DT,DT,246,300.70853564876626
altogether,420,RB,RB,180,301.14968946228237
direction,420,NN,NN,235,302.7716453260117
poor,415,JJ,JJ,187,302.5683312893656
joam,414,NNP,NN,36,143.8193493084015
sailor,414,NN,NN,85,234.21885919572884
impossible,408,JJ,JJ,216,304.56419569463935
modern,407,JJ,JJ,71,214.0763463091414
scarcely,406,RB,RB,260,297.06016954828067
natural,405,JJ,JJ,201,304.2849023348486
nemo,404,NNP,NN,43,160.76161339486438
waters,403,NNS,NN,176,300.1636542147567
darkness,402,NN,NN,160,294.87661308613207
lake,401,NN,NN,111,263.1245076961396
given,399,VBN,VB,219,304.4362508893186
believe,398,VB,VB,221,304.31796516982064
sat,395,VBD,VB,154,292.3105394410411
mouth,394,NN,NN,206,304.5517182954487
whether,393,IN,IN,200,304.2101473801926
top,391,NN,NN,173,299.33821493374063
ready,391,JJ,JJ,235,302.7716453260117
passepartout,390,NNP,NN,33,135.97692264146872
turn,390,NN,NN,226,303.90851992287304
glass,389,NN,NN,168,297.7950366546838
death,389,NN,NN,167,297.46083991167313
cant,387,VBP,VB,142,286.1526926182828
cold,386,JJ,JJ,183,301.80489717567104
known,386,VBN,VB,241,301.73623929742
thats,386,NN,NN,157,293.63492991209756
king,385,NN,NN,45,165.2874223655706
struck,384,VBD,VB,215,304.59352657353895
shore,383,NN,NN,138,283.7807808458576
heat,381,NN,NN,166,297.11800422457463
reach,381,VB,VB,227,303.80736574034347
ran,380,VBD,VB,197,303.94245612220436
huge,379,JJ,JJ,180,301.14968946228237
vessel,378,NN,NN,118,269.30713752303393
opened,378,VBD,VB,219,304.4362508893186
fine,378,JJ,JJ,168,297.7950366546838
remember,378,VBP,VB,134,281.2415766532007
harry,377,NNP,NN,40,153.719153271533
forward,376,RB,RB,203,304.4129149265738
benito,375,NNP,NN,34,138.63309890446186
boat,374,NN,NN,120,270.9619597280603
utopian,369,JJ,JJ,15,78.87024496600753
friend,368,NN,NN,180,301.14968946228237
tried,368,VBD,VB,208,304.6091793751959
heart,367,NN,NN,215,304.59352657353895
enormous,367,JJ,JJ,207,304.58393361950704
fall,365,NN,NN,193,303.4828286556682
speak,365,VB,VB,206,304.5517182954487
rocks,365,NNS,NN,157,293.63492991209756
whom,364,WP,WP,206,304.5517182954487
kennedy,364,NNP,NN,39,151.30068360472413
seems,362,VBZ,VB,162,295.65922165415225
seem,361,VB,VB,176,300.1636542147567
war,360,NN,NN,85,234.21885919572884
atmosphere,360,NN,NN,169,298.1206458765021
manoel,360,NNP,NN,34,138.63309890446186
chance,359,NN,NN,194,303.60885239078067
beneath,358,IN,IN,191,303.2083168402284
short,356,JJ,JJ,239,302.1055883680905
rock,355,NN,NN,157,293.63492991209756
held,355,VBD,VB,213,304.6320262738179
silence,355,NN,NN,208,304.6091793751959
board,355,NN,NN,153,291.8504198494045
west,354,NN,NN,175,299.8967675975878
length,354,NN,NN,216,304.56419569463935
bank,353,NN,NN,150,290.413235426971
arms,352,NNS,NN,216,304.56419569463935
mass,352,NN,NN,195,303.72743952058505
mountain,351,NN,NN,103,255.27585914772436
line,351,NN,NN,193,303.4828286556682
taking,350,VBG,VB,235,302.7716453260117
eight,349,CD,CD,223,304.1735669664504
torres,348,NNP,NN,31,130.53202910495318
true,348,JJ,JJ,198,304.03896070602343
journey,347,NN,NN,180,301.14968946228237
talk,347,VB,VB,125,274.89033025170005
slowly,346,RB,RB,172,299.0464535794575
attention,346,NN,NN,215,304.59352657353895
ill,345,NNP,NN,164,296.4062072174471
iron,345,NN,NN,157,293.63492991209756
reason,345,NN,NN,203,304.4129149265738
english,344,NNP,NN,146,288.3620256981679
hard,342,JJ,JJ,189,302.9035909639223
business,341,NN,NN,136,282.5323956178474
whatever,339,WDT,WD,183,301.80489717567104
feel,339,VB,VB,163,296.0371399084715
living,339,NN,NN,172,299.0464535794575
used,337,VBN,VB,163,296.0371399084715
thirty,336,NN,NN,202,304.35247967262643
change,336,NN,NN,167,297.46083991167313
free,335,JJ,JJ,136,282.5323956178474
real,335,JJ,JJ,171,298.7463044160541
reporter,334,NN,NN,61,197.2843449358809
window,334,NN,NN,125,274.89033025170005
science,333,NN,NN,112,264.04582451722536
town,332,NN,NN,136,282.5323956178474
form,331,NN,NN,195,303.72743952058505
observed,331,VBD,VB,165,296.7664775509289
foot,330,NN,NN,214,304.6161472187518
running,330,VBG,VB,175,299.8967675975878
woman,330,NN,NN,93,244.19457474779205
deep,329,JJ,JJ,208,304.6091793751959
fear,329,NN,NN,198,304.03896070602343
city,329,NN,NN,100,252.1050736900963
hear,328,VB,VB,196,303.83862818185395
ben,327,NNP,NN,42,158.44875916367096
added,327,VBD,VB,203,304.4129149265738
exactly,327,RB,RB,184,302.0074745938362
boy,326,NN,NN,148,289.4071270349172
hall,323,NNP,NN,79,226.02896810138822
cut,323,NN,NN,193,303.4828286556682
passage,322,NN,NN,175,299.8967675975878
sense,321,NN,NN,147,288.8894835303805
covered,321,VBN,VB,214,304.6161472187518
table,321,NN,NN,137,283.16185358897707
ocean,320,NN,NN,144,287.27739723360605
ned,320,NNP,NN,41,156.10155180436178
gun,319,NN,NN,119,270.1406104407616
dear,318,JJ,JJ,156,293.20273441889657
shot,318,NN,NN,161,295.27239781833237
happened,318,VBD,VB,204,304.46624327965526
year,318,NN,NN,139,284.38925369935305
besides,317,IN,IN,204,304.46624327965526
further,316,JJ,JJ,187,302.5683312893656
sometimes,315,RB,RB,164,296.4062072174471
hold,315,NN,NN,177,300.4223436569062
sleep,313,NN,NN,159,294.47181145122187
simple,313,JJ,JJ,164,296.4062072174471
mine,313,NN,NN,116,267.6034080595814
answer,313,NN,NN,174,299.6216369638909
green,312,JJ,JJ,158,294.05793620277643
oh,312,NN,NN,167,297.46083991167313
bed,311,NN,NN,141,285.5751359730421
social,310,JJ,JJ,56,188.02291225861268
simply,310,RB,RB,194,303.60885239078067
strong,310,JJ,JJ,195,303.72743952058505
flying,309,VBG,VB,102,254.23312163982763
evidently,309,RB,RB,201,304.2849023348486
need,309,NN,NN,160,294.87661308613207
immense,309,JJ,JJ,162,295.65922165415225
houses,309,NNS,NN,113,264.9542599614365
public,309,JJ,JJ,98,249.919314090927
hill,309,NNP,NN,103,255.27585914772436
ayrton,308,NNP,NN,24,109.91866622290875
mountains,308,NNS,NN,117,268.4614382297971
formed,307,VBD,VB,189,302.9035909639223
horizon,307,NN,NN,166,297.11800422457463
spoke,307,VBD,VB,186,302.3891494955841
big,306,JJ,JJ,135,281.89232949935564
view,306,NN,NN,175,299.8967675975878
effect,305,NN,NN,178,300.67288223625366
fellow,305,NN,NN,184,302.0074745938362
probably,305,RB,RB,160,294.87661308613207
met,304,VBD,VB,192,303.3493297832701
comes,304,VBZ,VB,124,274.1281164198128
wood,303,NN,NN,127,276.3802244677473
children,302,NNS,NN,106,258.3205660439238
except,302,IN,IN,153,291.8504198494045
later,302,RB,RB,205,304.51249956989955
grew,301,VBD,VB,170,298.4377183914576
bottom,300,NN,NN,158,294.05793620277643
love,300,NN,NN,75,220.20661771348554
following,300,VBG,VB,202,304.35247967262643
height,300,NN,NN,162,295.65922165415225
east,300,NN,NN,156,293.20273441889657
zoof,300,NNP,NN,36,143.8193493084015
car,299,NN,NN,79,226.02896810138822
animal,298,NN,NN,131,279.22439419310916
fifty,298,JJ,JJ,183,301.80489717567104
around,298,IN,IN,172,299.0464535794575
arm,297,NN,NN,165,296.7664775509289
beginning,297,NN,NN,153,291.8504198494045
follow,297,VB,VB,186,302.3891494955841
help,297,NN,NN,177,300.4223436569062
beautiful,296,JJ,JJ,121,271.7712864175323
rate,296,NN,NN,175,299.8967675975878
broken,296,VBN,VB,179,300.9153157446462
money,296,NN,NN,104,256.30458968759797
escape,295,VB,VB,169,298.1206458765021
section,295,NN,NN,43,160.76161339486438
gideon,295,NNP,NN,60,195.48097986403016
arrived,294,VBD,VB,180,301.14968946228237
often,294,RB,RB,169,298.1206458765021
lower,293,JJR,JJ,181,301.37604816623934
ought,293,MD,MD,151,290.9018302899419
care,293,NN,NN,180,301.14968946228237
terrible,293,JJ,JJ,172,299.0464535794575
yards,292,NNS,NN,141,285.5751359730421
seven,292,CD,CD,191,303.2083168402284
food,292,NN,NN,133,280.58005732620825
wide,290,JJ,JJ,145,287.82468631580923
easily,290,RB,RB,179,300.9153157446462
travellers,290,NNS,NN,90,240.57484473114118
count,289,NN,NN,83,231.55900211228732
ideas,288,NNS,NN,112,264.04582451722536
save,287,VB,VB,171,298.7463044160541
difficult,286,JJ,JJ,170,298.4377183914576
lincoln,286,NNP,NN,71,214.0763463091414
gas,285,NN,NN,100,252.1050736900963
curious,285,JJ,JJ,173,299.33821493374063
rising,285,VBG,VB,171,298.7463044160541
pass,284,VB,VB,166,297.11800422457463
interest,283,NN,NN,153,291.8504198494045
degrees,282,NNS,NN,131,279.22439419310916
waves,281,NNS,NN,131,279.22439419310916
rapidly,281,RB,RB,176,300.1636542147567
ive,281,NNP,NN,82,230.20310360872355
easy,280,JJ,JJ,180,301.14968946228237
manner,280,NN,NN,151,290.9018302899419
coal,280,NN,NN,86,235.52322678972874
live,279,VB,VB,141,285.5751359730421
caught,278,VBD,VB,186,302.3891494955841
wild,277,JJ,JJ,171,298.7463044160541
smoke,277,NN,NN,138,283.7807808458576
thick,276,JJ,JJ,173,299.33821493374063
invisible,276,JJ,JJ,88,238.0818271073784
reply,276,NN,NN,168,297.7950366546838
starr,276,NNP,NN,20,96.85957663576652
none,276,NN,NN,175,299.8967675975878
opening,275,NN,NN,150,290.413235426971
