term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop
1849a,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1850,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1851,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1852,6,4,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
1853,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1854,6,4,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
1855,6,4,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
1856,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1857,7,4,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
1858,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1859,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1860,7,4,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
1861,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1862,7,4,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
1863,5,4,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1864,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1865,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1866,10,4,5.629838142153413e-06,17.43847512390487,CD,2,"{'CD', 'NN'}",0
1867,9,4,5.066854327938072e-06,17.59047821734992,CD,1,{'CD'},0
1868,5,4,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1869,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1871,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1872,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1879,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
188,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1882,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1887,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1888that,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
189,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1890,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1891,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1893,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1894,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1895,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1898,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1899,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
18th,33,4,1.8578465869106263e-05,15.716009099433776,CD,1,{'CD'},0
19,7,2,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
190,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1900,8,4,4.50387051372273e-06,17.76040321879223,CD,1,{'CD'},0
19000000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1903,6,4,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
1904,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1905,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1905clean,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1906,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1907,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1908,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
191,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1913,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1918,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
19250,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
192a,2,4,1.1259676284306826e-06,19.76040321879223,CD,2,"{'CD', 'JJ'}",0
1933,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1940,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1943,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1945,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1950,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1953,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1954,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1955,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1956,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1958,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1959,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1967,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1970,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
197000000,2,9,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1975,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
19th,23,4,1.294862772695285e-05,16.23684126273522,CD,1,{'CD'},0
1er,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1st,36,3,2.0267417311752287e-05,15.590478217349917,CD,2,"{'CD', 'NN'}",0
2,114,1,6.41801548205489e-05,13.927513204627488,CD,5,"{'CD', 'NN', 'VBD', 'IN', 'JJ'}",0
20,20,2,1.1259676284306827e-05,16.43847512390487,CD,1,{'CD'},0
200,14,3,7.881773399014778e-06,16.953048296734625,CD,1,{'CD'},0
2000,10,4,5.629838142153413e-06,17.43847512390487,CD,1,{'CD'},0
20000,9,5,5.066854327938072e-06,17.59047821734992,CD,1,{'CD'},0
200000,4,6,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
200000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
2003,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
2070,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
208000,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
20m,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
20sec,2,5,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
20th,51,4,2.8712174524982406e-05,15.087977876820734,CD,2,"{'CD', 'JJ'}",0
20ththus,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
21,3,2,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
210,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
21000,3,5,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
21000000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
212,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
214976,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
2150,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
216000,2,6,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
21762,1,5,5.629838142153413e-07,20.76040321879223,JJ,1,{'JJ'},0
218657,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
219572,1,6,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
21st,30,4,1.6889514426460238e-05,15.853512623183711,CD,2,"{'CD', 'JJ'}",0
